Location,Household Type,TimeFrame,DataFormat,Data,Fips
Battery Park/Tribeca,All Households,2023,Dollars,198945,101
Greenwich Village,All Households,2023,Dollars,198945,102
Lower East Side,All Households,2023,Dollars,54482,103
Chelsea/Clinton,All Households,2023,Dollars,122723,104
Midtown Business District,All Households,2023,Dollars,144175,105
Murray Hill/Stuyvesant,All Households,2023,Dollars,144175,106
Upper West Side,All Households,2023,Dollars,150017,107
Upper East Side,All Households,2023,Dollars,159241,108
Manhattanville,All Households,2023,Dollars,54508,109
Central Harlem,All Households,2023,Dollars,48977,110
East Harlem,All Households,2023,Dollars,45233,111
Washington Heights,All Households,2023,Dollars,61527,112